ASV ID	005-EQZS-V1	008-EMSU-V1	009-ECHY-V1	010-EWTU-V1	011-EHJZ-V1	012-ENMI-V1	013-EZNM-V1	016-EAAG-V1	019-EBYD-V1	022-EIZC-V1	025-EUWJ-V1	027-EHAY-V1	029-ERXF-V1	030-EDBH-V1	031-EJGY-V1	032-EEPL-V1	033-EZON-V1	035-ETOJ-V1	036-EETJ-V1	039-EBGQ-V1	040-EDQL-V1	044-EQOF-V1	048-EAPD-V1	053-EGXL-V1	055-EPHL-V1	058-EXVV-V1	059-ESHN-V1	064-ENFW-V1	072-EBCX-V1	076-EZYS-V1	077-EFPQ-V1	088-EUWJ-V3	094-EWGO-V1	097-EVZS-V1	099-EPSP-V1	100-EXMP-V1	101-EVCH-V1	103-EPMN-V1	105-EMSU-V3	106-EVUC-V1	107-EHJZ-V3	112-ENMI-V3	113-EQZS-V3	115-EBYD-V3	116-EAAG-V3	117-EWTU-V3	118-EIZC-V3	1201-DC-BL	1201-DC-T	1202-DC-BL	1202-DC-T	1203-DC-BL	1203-DC-T	1204-DC-BL	1204-DC-T	1208-DC-BL	1208-DC-T	1209-DC-BL	1209-DC-T	1212-DC-BL	1212-DC-T	1213-DC-BL	1213-DC-T	1224-DC-BL	1224-DC-T	123-EETJ-V3	1232-DC-BL	1232-DC-T	1233-DC-BL	1233-DC-T	1234-DC-BL	1234-DC-T	1235-DC-BL	1235-DC-T	1236-DC-BL	1236-DC-T	1237-DC-BL	1237-DC-T	1238-DC-BL	1238-DC-T	1239-DC-BL	1239-DC-T	124-EBRI-V1	1240-DC-BL	1240-DC-T	1241-DC-BL	1241-DC-T	1242-DC-BL	1242-DC-T	1243-DC-BL	1243-DC-T	1244-DC-BL	1244-DC-T	1245-DC-BL	1245-DC-T	1246-DC-BL	1246-DC-T	125-EEPL-V3	126-EDBH-V3	127-EJGY-V3	129-EWDL-V1	132-ERXF-V3	134-EDQL-V3	135-EHAY-V3	136-EQOF-V3	138-EGGZ-V1	139-EAPD-V3	143-EPHL-V3	145-DC-BL	145-DC-C	146-DC-BL	146-DC-C	146-EZON-V3	147-DC-BL	147-DC-C	147-EGXL-V3	148-DC-BL	148-DC-C	149-DC-BL	149-DC-C	150-DC-BL	150-DC-C	150-EWME-V1	151-DC-BL	151-DC-C	151-ECUJ-V1	152-DC-BL	152-DC-C	153-DC-BL	153-DC-C	154-DC-BL	154-DC-C	155-DC-BL	155-DC-C	156-DC-BL	156-DC-C	157-DC-BL	157-DC-C	158-DC-BL	158-DC-C	158-EFZE-V1	159-DC-BL	159-DC-C	159-EPTN-V1	160-DC-BL	160-DC-C	161-DC-BL	161-DC-C	161-ESHN-V3	162-DC-BL	162-DC-C	162-EXVV-V3	163-DC-BL	163-DC-C	163-EKFY-V1	164-DC-BL	164-DC-C	164-EFPQ-V3	165-DC-BL	165-DC-C	165-EBGQ-V3	166-DC-BL	166-DC-C	167-DC-BL	167-DC-C	167-ETMI-V1	168-DC-BL	168-DC-C	168-EBCX-V3	169-DC-BL	169-DC-C	169-ELZO-V1	170-DC-BL	170-DC-C	171-DC-BL	171-DC-C	171-EPGW-V1	172-DC-BL	172-DC-C	173-DC-BL	173-DC-C	174-DC-BL	174-DC-C	175-DC-BL	175-DC-C	175-ENZB-V1	176-DC-BL	176-DC-C	176-ETOJ-V3	181-ENFW-V3	183-EYHS-V1	186-ENSU-V1	195-EOEV-V1	197-EPRH-V1	198-EGXT-V1	202-EEJX-V1	205-EQRS-V1	210-EUAQ-V1	212-EYFD-V1	214-EXMP-V3	215-EWGO-V3	217-EVUC-V3	218-EHBZ-V1	223-EZYS-V3	225-EGUT-V1	226-ERWM-V1	227-ESCY-V1	231-EVCH-V3	232-EVZS-V3	236-EPSP-V3	239-EPGX-V1	251-EFZE-V3	252-EBMF-V1	257-ECUJ-V3	261-EKFY-V3	262-ELZO-V3	263-EPGW-V3	265-EAJV-V1	266-EPTN-V3	268-ETMI-V3	269-EWUY-V3	274-ENDN-V1	275-EYHS-V3	276-ENZB-V3	280-EPMN-V3	283-EZNM-V3	284-ENSU-V3	286-EPRH-V3	287-EEJX-V3	289-EGXT-V3	290-EUAQ-V3	291-EQRS-V3	292-EOEV-V3	296-EHBZ-V3	297-EYFD-V3	300-ECHY-V3	301-ESCY-V3	302-ERWM-V3	304-EGUT-V3	305-EPGX-V3	308-ERUU-V3	309-ETZY-V3	310-EABW-V3	312-EBMF-V3	313-EAJV-V3	317-ENDN-V3	319-EWUY-V1	323-EBRI-V3	324-ERUU-V1	328-EABW-V1	339-EWME-V3	340-ETZY-V1	343-EGGZ-V3	344-EWDL-V3	558-DC-BL	558-DC-D1	559-DC-BL	559-DC-D1	560-DC-BL	560-DC-D1	560-DC-D5	561-DC-BL	562-DC-BL	562-DC-D1	562-DC-D5	563-DC-BL	563-DC-D1	564-DC-BL	565-DC-BL	565-DC-D1	565-DC-D5	566-DC-BL	566-DC-D1	566-DC-D5	567-DC-BL	567-DC-D1	567-DC-D5	568-DC-BL	568-DC-D1	568-DC-D5	569-DC-BL	569-DC-D1	569-DC-D5	570-DC-BL	570-DC-D1	571-DC-BL	571-DC-D1	571-DC-D5	575-DC-BL	575-DC-D5	576-DC-BL	576-DC-D1	576-DC-D5	577-DC-BL	577-DC-D1	577-DC-D5	578-DC-BL	578-DC-D5	692-DC-BL	692-DC-content	693-DC-BL	693-DC-content	694-DC-BL	694-DC-content	695-DC-BL	695-DC-content	696-DC-BL	696-DC-content	697-DC-BL	697-DC-content	698-DC-BL	698-DC-content	699-DC-BL	699-DC-content	700-DC-BL	700-DC-content	701-DC-BL	701-DC-content	725-DC-BL	725-DC-T	726-DC-BL	726-DC-T	727-DC-BL	727-DC-T	728-DC-BL	728-DC-T	729-DC-BL	729-DC-T	730-DC-BL	730-DC-T	731-DC-BL	731-DC-T	732-DC-BL	732-DC-T	733-DC-BL	733-DC-T	734-DC-BL	734-DC-T	735-DC-BL	735-DC-T	736-DC-BL	736-DC-T	737-DC-BL	737-DC-T	738-DC-BL	738-DC-T	739-DC-BL	740-DC-BL	740-DC-T
95fdd816723ca482a5caba10bea171c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390	10165	141	5017	867	2312	1944	3545	1770	1759	487	6154	587	10040	968	2655	2361	4213	0	6050	2303	1758	5239	6843	2926	929	2303	750	1611	1231	9932	3066	3399	298	3766	0	1426	2780	1160	1126	1275	12443	6153	5794	18119	5952	3429	7930	10702	3182	0	0	0	0	0	0	0	0	0	0	0	85	1516	516	1197	0	140	344	0	646	1821	376	140	822	0	0	577	113	0	187	0	807	0	679	0	865	0	626	0	756	1489	650	1157	0	372	469	0	203	357	413	0	0	868	0	0	202	0	0	673	0	0	1402	0	0	1115	0	2557	0	0	1419	0	0	575	0	0	791	0	908	0	0	574	0	1222	0	845	0	820	0	0	834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	708	0	2976	0	757	0	0	1682	376	0	0	693	0	4369	683	0	0	429	0	0	236	0	0	984	0	0	641	0	0	829	0	679	713	0	1265	0	1772	0	0	2760	0	0	1785	0	2787	736	3473	3462	1410	622	2770	509	2111	933	459	312	670	224	593	255	2392	1752	829	299	369	1894	1347	3257	1710	932	437	2106	326	840	363	612	1132	1617	819	894	323	875	724	1362	323	465	588	335	906	1460	920	428	278	754	900
69a11f927915e2a3ba1f7b9c84486527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	31	2	93	0	81	0	0	0	0	0	36	0	0	0	0	0	3	68	0	80	0	74	0	64	0	84	0	57	0	103	35	0	66	0	81	0	70	0	132	0	0	0	51	0	79	0	0	0	0	0	0	0	0	0	0	0	0	147	245	323	225	0	177	136	0	166	201	154	60	147	36	0	192	39	0	73	86	147	126	159	155	183	169	162	136	264	46	218	39	0	292	67	0	145	25	149	284	0	256	133	0	153	219	0	169	303	0	163	147	0	206	186	284	177	0	173	256	0	143	185	0	223	147	144	185	0	110	71	221	0	157	9	215	33	0	91	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	133	154	729	248	1017	736	50	20	120	59	43	238	125	105	1003	667	95	536	683	85	319	1142	150	316	616	66	311	661	124	209	146	122	231	130	360	44	0	971	70	146	853	159	433	117	0	0	0	52	0	159	0	167	0	132	0	366	0	336	0	135	0	102	0	127	35	59	0	197	0	108	0	27	0	41	0	85	0	74	0	0	0	209	0	199	9	139	10	182	25	202	0	180	159	0
e4ef1c7b616eb842c0ff7a327e83bd76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	248	22	302	29	389	85	583	0	240	0	82	0	211	48	297	0	79	383	0	2469	135	1281	0	1326	0	416	68	396	62	444	0	195	0	71	1013	74	62	68	481	0	228	44	113	47	1365	0	202	0	0	0	0	0	0	0	0	0	0	0	86	0	124	0	0	75	0	0	108	0	39	0	47	0	0	103	0	0	25	0	66	0	46	0	0	0	109	0	128	0	0	0	0	47	0	0	119	0	158	145	0	250	22	0	44	0	0	40	0	0	135	0	0	41	15	66	202	0	12	0	0	101	0	0	48	37	71	0	0	78	0	87	0	169	33	98	77	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	3444	31	2490	0	649	125	54	79	4115	3258	130	2556	198	106	3604	1271	149	347	1781	114	545	6516	173	687	862	145	1904	3074	169	608	126	1141	135	98	3889	154	346	2533	201	246	1702	676	2011	109	0	54	0	92	0	129	0	153	0	104	0	122	0	134	0	70	0	61	0	60	227	27	10	0	46	127	132	73	77	0	87	98	187	89	0	51	306	94	107	86	289	170	1222	130	279	156	0	80	0	68
2ef1e51ab1cf99a3c6417b05a060830e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792	33	174	0	39	21	14	76	1034	132	361	148	772	2110	687	12	761	27	0	1149	355	856	3	1732	352	175	437	272	430	1891	1706	1026	165	1196	1747	0	1744	568	1700	1110	1188	1352	2284	194	592	24	2313	1029	1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0	0	524	0	153	0	838	0	0	50	0	0	24	0	2320	0	1988	0	1705	0	2081	0	1781	0	1169	0	0	1998	0	0	1605	0	1312	0	0	101	0	0	73	0	0	903	0	0	867	0	0	663	0	259	0	0	838	0	0	2095	0	0	3303	0	2281	0	0	2630	0	3676	0	1407	0	1161	19	0	1424	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1287	0	16	0	0	0	0	46	80	0	0	1877	0	1224	1029	0	0	2484	0	0	20	0	0	1413	10	0	2295	0	0	3547	0	2714	991	0	1547	0	2485	0	0	107	0	0	2306	0	5358	1140	3393	796	5069	1529	152	0	3500	51	32	1012	9	550	879	75	3718	1241	1304	737	128	2606	34	1937	28	1078	105	1500	82	5168	58	1607	36	1067	73	1814	409	1642	613	1554	274	2461	750	439	1450	1944	909	343	510	740	1610
f434bb1f62e53ad7aed6f6ffd2ec039c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	2481	0	1176	236	558	506	833	451	497	127	1582	160	2617	255	692	569	1046	0	1697	587	439	1238	1641	767	260	593	194	444	275	2465	791	801	68	951	0	323	826	354	340	380	3138	1605	1499	4570	1552	853	1976	2669	743	0	0	0	0	0	0	0	0	0	0	0	0	270	109	259	0	0	0	0	132	399	69	0	162	0	0	120	0	0	0	0	221	0	153	0	201	0	94	0	137	325	117	240	0	62	90	0	0	73	73	0	0	243	0	0	0	0	0	128	0	0	303	0	0	251	0	584	0	0	316	0	0	123	0	0	176	0	194	0	0	93	0	259	0	204	0	186	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	650	0	206	0	0	367	62	0	0	113	0	914	144	0	0	85	0	0	0	0	0	221	0	0	163	0	0	173	0	106	156	0	287	0	358	0	0	621	0	0	386	0	633	207	772	860	292	150	623	155	499	248	93	0	146	0	104	0	611	512	161	0	75	374	261	780	408	265	112	501	0	198	54	132	271	364	164	215	62	224	132	319	87	110	108	68	133	355	203	113	66	171	213
0df6c802966e8670279671824da4f10a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1356	0	532	0	320	17	236	13	1665	125	609	55	1022	2646	758	17	1059	0	0	1085	295	519	0	608	509	577	297	637	333	3515	1555	2909	748	3276	2083	0	3880	953	4420	1465	2731	1724	4971	99	1214	16	4770	551	2981	0	0	0	0	0	0	0	0	0	0	0	0	21	0	599	0	0	0	0	0	707	0	276	0	1775	0	0	233	0	0	45	0	2299	0	2300	0	1767	0	2236	0	2351	0	2088	0	0	2958	0	0	1733	0	1659	0	0	136	0	0	124	0	0	1289	0	0	625	0	0	520	0	1067	0	0	1184	0	0	2587	0	0	4880	0	2857	0	0	3853	0	3525	0	1108	0	1557	0	0	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2575	0	51	0	0	0	0	295	129	0	0	2285	0	1200	2583	0	0	5303	0	0	98	0	0	2272	0	0	4457	0	0	5959	0	4605	1624	0	2093	0	3409	0	0	234	0	16	3668	19	8738	2068	6133	902	9266	1215	1078	0	6183	304	156	2078	46	852	3346	169	8870	1325	2409	953	261	4919	149	5687	54	2751	175	3542	200	4268	264	3115	0	2289	158	2656	582	2503	933	2576	402	2952	1214	1048	1649	3934	978	1417	824	974	2198
958d78a02bef69a795806f97adb117ea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	414	347	123	413	100	432	150	524	120	129	133	598	95	492	149	422	78	466	0	74	163	122	396	79	321	159	1727	144	371	28	999	167	107	54	406	0	148	948	90	345	81	859	133	794	128	681	91	292	72	268	0	0	0	0	0	0	0	0	0	0	0	125	0	68	0	0	176	173	0	271	0	131	0	116	0	0	76	0	0	0	0	40	0	44	0	0	0	44	0	83	0	33	0	0	0	0	0	0	0	111	0	0	0	0	0	135	0	0	32	0	0	47	0	0	14	0	34	0	0	0	0	0	0	0	0	34	0	119	0	0	153	0	0	0	195	0	44	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	73	0	137	0	0	156	342	0	0	152	0	84	100	0	0	80	0	0	190	0	0	149	0	0	73	0	0	131	264	73	0	0	73	515	161	0	0	122	0	0	46	0	79	242	161	295	73	111	232	182	236	374	95	267	76	211	80	330	47	328	105	324	54	409	61	216	0	570	69	302	102	327	215	293	61	206	68	394	135	322	48	311	20	389	108	353	117	317	82	86	114	254	152
8da18b476b64f6f053647455b6890f80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	459	219	265	305	164	447	172	287	215	125	202	236	251	151	443	211	65	119	0	110	147	253	292	130	251	177	458	195	238	0	348	144	0	79	136	0	207	146	169	65	176	884	105	369	235	327	138	355	61	208	0	0	0	0	0	0	0	0	0	0	0	209	0	53	211	0	135	0	0	266	0	197	0	304	0	0	217	0	0	134	0	46	0	56	0	18	0	82	0	64	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	120	0	0	37	0	0	33	0	0	21	0	35	0	0	17	0	0	0	0	0	0	0	58	0	0	118	0	22	0	191	0	51	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	30	0	79	0	0	45	463	0	0	364	0	95	204	0	0	257	0	0	265	0	0	193	0	0	60	0	0	130	0	52	0	0	66	0	281	0	0	185	0	0	29	0	140	68	414	356	108	136	555	137	409	340	56	16	125	204	38	137	55	325	96	284	41	364	41	180	36	386	74	296	48	269	147	313	51	186	56	213	161	272	39	64	23	265	106	77	109	57	70	98	99	144	200
33ea9f7df7a02a6f06fb9700ed440401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	125	0	167	55	762	77	652	143	251	38	327	42	292	71	288	150	380	0	160	120	292	351	306	741	66	444	36	358	135	438	133	40	236	166	0	146	31	240	26	138	444	187	313	79	307	0	478	103	222	0	0	0	0	0	0	0	0	0	0	0	831	0	2059	0	0	1111	0	0	874	0	1487	0	2131	0	0	1709	0	0	564	0	1356	0	916	0	1396	0	1427	0	2027	0	1664	0	0	2387	0	0	1451	0	2224	0	0	1818	0	0	1486	0	0	856	0	0	1494	0	0	1818	0	2895	0	0	2434	0	0	1057	0	0	1661	0	1300	0	0	1199	0	1139	0	1355	0	1638	0	0	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	315	0	261	2	0	152	218	0	0	172	0	151	223	0	0	173	0	0	99	0	0	259	5	0	403	0	0	494	0	487	234	0	461	0	253	0	0	497	0	9	435	0	472	0	252	0	460	0	745	0	857	0	814	0	812	0	583	0	546	0	469	0	593	1509	550	907	435	368	588	794	546	448	301	1142	805	758	454	1091	437	2880	714	932	517	2460	996	4296	1039	1022	1226	203	861	821	1160
e4597f1dce864c29882fa64f616d1a6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	37	138	196	249	127	376	98	619	45	125	46	173	14	101	45	699	10	0	562	88	764	161	894	51	356	332	334	119	708	103	813	43	1161	186	0	574	301	873	24	815	162	1229	135	405	66	785	215	517	98	0	0	0	0	0	0	0	0	0	0	0	296	0	313	0	0	53	0	0	305	0	289	0	421	0	0	429	0	0	62	0	435	0	303	0	456	0	303	0	416	0	343	0	0	397	0	0	220	0	279	0	0	207	0	0	283	0	0	186	0	0	310	0	0	413	0	132	0	0	406	0	0	426	0	0	720	0	639	0	0	550	0	736	0	468	0	596	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	0	467	0	582	0	0	375	449	0	0	538	0	504	353	0	0	248	0	0	347	0	0	162	0	0	513	0	0	564	0	765	264	0	1046	0	742	0	0	764	0	0	699	0	868	0	352	0	651	0	658	0	838	0	624	0	1314	0	785	0	635	0	392	0	244	180	288	56	567	148	360	90	633	190	193	227	647	149	679	232	428	182	865	122	737	217	1293	302	1506	106	1292	42	1429	1335	135
